         ;0
OXX  XO  ;885
 OX  XO  ;886
XOX  XO  ;887
OOX  XO  ;888
  O  XO  ;889
X O  XO  ;890
 XO  XO  ;891
XXO  XO  ;892
OXO  XO  ;893
XOO  XO  ;894
   X XO  ;895
O  X XO  ;896
OX X XO  ;897
 O X XO  ;898
XO X XO  ;899
OO X XO  ;900
O XX XO  ;901
 OXX XO  ;902
OOXX XO  ;903
  OX XO  ;904
X OX XO  ;905
O OX XO  ;906
 XOX XO  ;907
OXOX XO  ;908
 OOX XO  ;909
XOOX XO  ;910
   O XO  ;911
X  O XO  ;912
 X O XO  ;913
XX O XO  ;914
OX O XO  ;915
XO O XO  ;916
  XO XO  ;917
X XO XO  ;918
O XO XO  ;919
 XXO XO  ;920
OXXO XO  ;921
 OXO XO  ;922
XOXO XO  ;923
X OO XO  ;924
 XOO XO  ;925
XXOO XO  ;926
    XXO  ;927
O   XXO  ;928
OX  XXO  ;929
 O  XXO  ;930
XO  XXO  ;931
OO  XXO  ;932
O X XXO  ;933
 OX XXO  ;934
OOX XXO  ;935
  O XXO  ;936
X O XXO  ;937
O O XXO  ;938
 XO XXO  ;939
OXO XXO  ;940
 OO XXO  ;941
XOO XXO  ;942
O  XXXO  ;943
 O XXXO  ;944
OO XXXO  ;945
OOXXXXO  ;946
  OXXXO  ;947
O OXXXO  ;948
OXOXXXO  ;949
 OOXXXO  ;950
XOOXXXO  ;951
OOOXXXO  ;952
   OXXO  ;953
X  OXXO  ;954
O  OXXO  ;955
 X OXXO  ;956
OX OXXO  ;957
 O OXXO  ;958
XO OXXO  ;959
  XOXXO  ;960
O XOXXO  ;961
OXXOXXO  ;962
 OXOXXO  ;963
XOXOXXO  ;964
OOXOXXO  ;965
  OOXXO  ;966
X OOXXO  ;967
 XOOXXO  ;968
XXOOXXO  ;969
OXOOXXO  ;970
XOOOXXO  ;971
    OXO  ;972
X   OXO  ;973
 X  OXO  ;974
XX  OXO  ;975
OX  OXO  ;976
XO  OXO  ;977
  X OXO  ;978
X X OXO  ;979
O X OXO  ;980
 XX OXO  ;981
OXX OXO  ;982
 OX OXO  ;983
XOX OXO  ;984
X O OXO  ;985
 XO OXO  ;986
XXO OXO  ;987
   XOXO  ;988
X  XOXO  ;989
O  XOXO  ;990
 X XOXO  ;991
OX XOXO  ;992
 O XOXO  ;993
XO XOXO  ;994
  XXOXO  ;995
O XXOXO  ;996
OXXXOXO  ;997
 OXXOXO  ;998
XOXXOXO  ;999
OOXXOXO  ;1000
  OXOXO  ;1001
X OXOXO  ;1002
 XOXOXO  ;1003
XXOXOXO  ;1004
OXOXOXO  ;1005
XOOXOXO  ;1006
X  OOXO  ;1007
 X OOXO  ;1008
XX OOXO  ;1009
  XOOXO  ;1010
X XOOXO  ;1011
 XXOOXO  ;1012
XXXOOXO  ;1013
OXXOOXO  ;1014
XOXOOXO  ;1015
XXOOOXO  ;1016
X    OO  ;1017
 X   OO  ;1018
XX   OO  ;1019
  X  OO  ;1020
X X  OO  ;1021
 XX  OO  ;1022
XXX  OO  ;1023
OXX  OO  ;1024
XOX  OO  ;1025
XXO  OO  ;1026
   X OO  ;1027
X  X OO  ;1028
 X X OO  ;1029
XX X OO  ;1030
OX X OO  ;1031
XO X OO  ;1032
  XX OO  ;1033
X XX OO  ;1034
O XX OO  ;1035
 XXX OO  ;1036
OXXX OO  ;1037
 OXX OO  ;1038
XOXX OO  ;1039
X OX OO  ;1040
 XOX OO  ;1041
XXOX OO  ;1042
XX O OO  ;1043
X XO OO  ;1044
 XXO OO  ;1045
XXXO OO  ;1046
    XOO  ;1047
X   XOO  ;1048
 X  XOO  ;1049
XX  XOO  ;1050
OX  XOO  ;1051
XO  XOO  ;1052
  X XOO  ;1053
X X XOO  ;1054
O X XOO  ;1055
 XX XOO  ;1056
OXX XOO  ;1057
 OX XOO  ;1058
XOX XOO  ;1059
X O XOO  ;1060
 XO XOO  ;1061
XXO XOO  ;1062
   XXOO  ;1063
X  XXOO  ;1064
O  XXOO  ;1065
 X XXOO  ;1066
OX XXOO  ;1067
 O XXOO  ;1068
XO XXOO  ;1069
  XXXOO  ;1070
O XXXOO  ;1071
OXXXXOO  ;1072
 OXXXOO  ;1073
XOXXXOO  ;1074
OOXXXOO  ;1075
  OXXOO  ;1076
X OXXOO  ;1077
 XOXXOO  ;1078
XXOXXOO  ;1079
OXOXXOO  ;1080
XOOXXOO  ;1081
X  OXOO  ;1082
 X OXOO  ;1083
XX OXOO  ;1084
  XOXOO  ;1085
X XOXOO  ;1086
 XXOXOO  ;1087
XXXOXOO  ;1088
OXXOXOO  ;1089
XOXOXOO  ;1090
XXOOXOO  ;1091
XX  OOO  ;1092
X X OOO  ;1093
 XX OOO  ;1094
XXX OOO  ;1095
X  XOOO  ;1096
 X XOOO  ;1097
XX XOOO  ;1098
  XXOOO  ;1099
X XXOOO  ;1100
